No,year,month,day,hour,PM2.5,TEMP,RAIN,WSPM,station,datetime,month_year
18265,2015,4,1,0,71.0,7.8,0.0,0.1,Wanshouxigong,2015-04-01 00:00:00,2015-04
18266,2015,4,1,1,64.0,6.7,0.0,0.9,Wanshouxigong,2015-04-01 01:00:00,2015-04
18267,2015,4,1,2,64.0,6.9,0.0,1.1,Wanshouxigong,2015-04-01 02:00:00,2015-04
18268,2015,4,1,3,70.0,6.3,0.0,0.2,Wanshouxigong,2015-04-01 03:00:00,2015-04
18269,2015,4,1,4,75.0,6.8,0.0,1.1,Wanshouxigong,2015-04-01 04:00:00,2015-04
18270,2015,4,1,5,79.0,7.7,0.0,1.3,Wanshouxigong,2015-04-01 05:00:00,2015-04
18271,2015,4,1,6,70.0,6.6,0.0,1.1,Wanshouxigong,2015-04-01 06:00:00,2015-04
18272,2015,4,1,7,59.0,6.6,0.0,1.3,Wanshouxigong,2015-04-01 07:00:00,2015-04
18273,2015,4,1,8,61.0,8.3,0.0,0.7,Wanshouxigong,2015-04-01 08:00:00,2015-04
18274,2015,4,1,9,76.0,10.4,0.0,0.8,Wanshouxigong,2015-04-01 09:00:00,2015-04
18275,2015,4,1,10,68.0,11.8,0.0,2.3,Wanshouxigong,2015-04-01 10:00:00,2015-04
18276,2015,4,1,11,48.0,12.3,0.0,2.6,Wanshouxigong,2015-04-01 11:00:00,2015-04
18277,2015,4,1,12,28.0,12.6,0.0,2.0,Wanshouxigong,2015-04-01 12:00:00,2015-04
18278,2015,4,1,13,29.0,12.4,0.0,2.3,Wanshouxigong,2015-04-01 13:00:00,2015-04
18279,2015,4,1,14,31.0,12.4,0.0,1.6,Wanshouxigong,2015-04-01 14:00:00,2015-04
18280,2015,4,1,15,37.0,12.3,0.0,2.0,Wanshouxigong,2015-04-01 15:00:00,2015-04
18281,2015,4,1,16,33.0,12.1,0.0,0.7,Wanshouxigong,2015-04-01 16:00:00,2015-04
18282,2015,4,1,17,33.0,11.9,0.0,1.8,Wanshouxigong,2015-04-01 17:00:00,2015-04
18283,2015,4,1,18,34.0,10.6,0.0,0.7,Wanshouxigong,2015-04-01 18:00:00,2015-04
18284,2015,4,1,19,36.0,10.4,0.0,0.9,Wanshouxigong,2015-04-01 19:00:00,2015-04
18285,2015,4,1,20,35.0,9.9,0.0,0.5,Wanshouxigong,2015-04-01 20:00:00,2015-04
18286,2015,4,1,21,41.0,9.8,0.1,1.3,Wanshouxigong,2015-04-01 21:00:00,2015-04
18287,2015,4,1,22,52.0,8.6,0.5,0.7,Wanshouxigong,2015-04-01 22:00:00,2015-04
18288,2015,4,1,23,46.0,8.7,0.1,1.7,Wanshouxigong,2015-04-01 23:00:00,2015-04
18289,2015,4,2,0,43.0,6.6,1.4,3.2,Wanshouxigong,2015-04-02 00:00:00,2015-04
18290,2015,4,2,1,36.0,5.9,3.7,1.6,Wanshouxigong,2015-04-02 01:00:00,2015-04
18291,2015,4,2,2,40.0,5.5,5.0,2.2,Wanshouxigong,2015-04-02 02:00:00,2015-04
18292,2015,4,2,3,42.0,5.3,2.7,1.1,Wanshouxigong,2015-04-02 03:00:00,2015-04
18293,2015,4,2,4,39.0,5.2,1.4,1.3,Wanshouxigong,2015-04-02 04:00:00,2015-04
18294,2015,4,2,5,43.0,4.9,0.9,1.3,Wanshouxigong,2015-04-02 05:00:00,2015-04
18295,2015,4,2,6,49.0,4.6,0.4,2.0,Wanshouxigong,2015-04-02 06:00:00,2015-04
18296,2015,4,2,7,42.0,4.7,0.0,1.8,Wanshouxigong,2015-04-02 07:00:00,2015-04
18297,2015,4,2,8,55.0,4.8,0.0,3.2,Wanshouxigong,2015-04-02 08:00:00,2015-04
18298,2015,4,2,9,53.0,5.4,0.0,1.8,Wanshouxigong,2015-04-02 09:00:00,2015-04
18299,2015,4,2,10,41.0,6.0,0.1,2.1,Wanshouxigong,2015-04-02 10:00:00,2015-04
18300,2015,4,2,11,42.0,6.9,0.0,1.6,Wanshouxigong,2015-04-02 11:00:00,2015-04
18301,2015,4,2,12,36.0,7.8,0.1,2.8,Wanshouxigong,2015-04-02 12:00:00,2015-04
18302,2015,4,2,13,34.0,9.8,0.0,2.9,Wanshouxigong,2015-04-02 13:00:00,2015-04
18303,2015,4,2,14,27.0,11.1,0.0,2.3,Wanshouxigong,2015-04-02 14:00:00,2015-04
18304,2015,4,2,15,32.0,12.2,0.0,2.3,Wanshouxigong,2015-04-02 15:00:00,2015-04
18305,2015,4,2,16,33.0,14.1,0.0,3.0,Wanshouxigong,2015-04-02 16:00:00,2015-04
18306,2015,4,2,17,37.0,13.6,0.0,1.4,Wanshouxigong,2015-04-02 17:00:00,2015-04
18307,2015,4,2,18,39.0,14.8,0.0,4.5,Wanshouxigong,2015-04-02 18:00:00,2015-04
18308,2015,4,2,19,24.0,14.0,0.0,4.5,Wanshouxigong,2015-04-02 19:00:00,2015-04
18309,2015,4,2,20,14.0,14.0,0.0,4.3,Wanshouxigong,2015-04-02 20:00:00,2015-04
18310,2015,4,2,21,11.0,14.0,0.0,3.4,Wanshouxigong,2015-04-02 21:00:00,2015-04
18311,2015,4,2,22,8.0,13.7,0.0,3.7,Wanshouxigong,2015-04-02 22:00:00,2015-04
18312,2015,4,2,23,12.0,13.4,0.0,5.1,Wanshouxigong,2015-04-02 23:00:00,2015-04
18313,2015,4,3,0,9.0,12.7,0.0,3.1,Wanshouxigong,2015-04-03 00:00:00,2015-04
18314,2015,4,3,1,7.0,10.2,0.0,1.0,Wanshouxigong,2015-04-03 01:00:00,2015-04
18315,2015,4,3,2,11.0,9.2,0.0,1.2,Wanshouxigong,2015-04-03 02:00:00,2015-04
18316,2015,4,3,3,14.0,8.2,0.0,0.7,Wanshouxigong,2015-04-03 03:00:00,2015-04
18317,2015,4,3,4,16.0,9.0,0.0,1.5,Wanshouxigong,2015-04-03 04:00:00,2015-04
18318,2015,4,3,5,16.0,8.4,0.0,1.3,Wanshouxigong,2015-04-03 05:00:00,2015-04
18319,2015,4,3,6,12.0,6.4,0.0,0.9,Wanshouxigong,2015-04-03 06:00:00,2015-04
18320,2015,4,3,7,22.0,8.3,0.0,1.2,Wanshouxigong,2015-04-03 07:00:00,2015-04
18321,2015,4,3,8,18.0,11.1,0.0,1.9,Wanshouxigong,2015-04-03 08:00:00,2015-04
18322,2015,4,3,9,11.0,12.9,0.0,1.3,Wanshouxigong,2015-04-03 09:00:00,2015-04
18323,2015,4,3,10,10.0,14.0,0.0,1.8,Wanshouxigong,2015-04-03 10:00:00,2015-04
18324,2015,4,3,11,14.0,14.5,0.0,3.2,Wanshouxigong,2015-04-03 11:00:00,2015-04
18325,2015,4,3,12,15.0,15.3,0.0,3.0,Wanshouxigong,2015-04-03 12:00:00,2015-04
18326,2015,4,3,13,27.0,15.8,0.0,3.1,Wanshouxigong,2015-04-03 13:00:00,2015-04
18327,2015,4,3,14,38.0,16.1,0.0,2.8,Wanshouxigong,2015-04-03 14:00:00,2015-04
18328,2015,4,3,15,38.0,15.8,0.0,3.2,Wanshouxigong,2015-04-03 15:00:00,2015-04
18329,2015,4,3,16,38.0,16.0,0.0,2.5,Wanshouxigong,2015-04-03 16:00:00,2015-04
18330,2015,4,3,17,48.0,14.8,0.0,2.4,Wanshouxigong,2015-04-03 17:00:00,2015-04
18331,2015,4,3,18,64.0,14.2,0.0,2.4,Wanshouxigong,2015-04-03 18:00:00,2015-04
18332,2015,4,3,19,74.0,13.2,0.0,3.1,Wanshouxigong,2015-04-03 19:00:00,2015-04
18333,2015,4,3,20,62.0,12.4,0.0,2.2,Wanshouxigong,2015-04-03 20:00:00,2015-04
18334,2015,4,3,21,51.0,11.6,0.0,3.5,Wanshouxigong,2015-04-03 21:00:00,2015-04
18335,2015,4,3,22,34.0,10.6,0.0,4.1,Wanshouxigong,2015-04-03 22:00:00,2015-04
18336,2015,4,3,23,31.0,9.9,0.0,2.6,Wanshouxigong,2015-04-03 23:00:00,2015-04
18337,2015,4,4,0,36.0,9.4,0.0,3.2,Wanshouxigong,2015-04-04 00:00:00,2015-04
18338,2015,4,4,1,37.0,9.0,0.0,2.8,Wanshouxigong,2015-04-04 01:00:00,2015-04
18339,2015,4,4,2,37.0,8.7,0.0,2.1,Wanshouxigong,2015-04-04 02:00:00,2015-04
18340,2015,4,4,3,32.0,8.8,0.0,1.5,Wanshouxigong,2015-04-04 03:00:00,2015-04
18341,2015,4,4,4,39.0,9.3,0.0,2.2,Wanshouxigong,2015-04-04 04:00:00,2015-04
18342,2015,4,4,5,37.0,8.6,0.0,1.5,Wanshouxigong,2015-04-04 05:00:00,2015-04
18343,2015,4,4,6,38.0,9.2,0.0,2.6,Wanshouxigong,2015-04-04 06:00:00,2015-04
18344,2015,4,4,7,40.0,9.7,0.0,1.8,Wanshouxigong,2015-04-04 07:00:00,2015-04
18345,2015,4,4,8,48.0,10.4,0.0,1.4,Wanshouxigong,2015-04-04 08:00:00,2015-04
18346,2015,4,4,9,51.0,11.2,0.0,2.6,Wanshouxigong,2015-04-04 09:00:00,2015-04
18347,2015,4,4,10,68.0,11.7,0.0,2.8,Wanshouxigong,2015-04-04 10:00:00,2015-04
18348,2015,4,4,11,77.0,13.1,0.0,3.0,Wanshouxigong,2015-04-04 11:00:00,2015-04
18349,2015,4,4,12,74.0,14.0,0.0,2.4,Wanshouxigong,2015-04-04 12:00:00,2015-04
18350,2015,4,4,13,76.0,15.1,0.0,3.0,Wanshouxigong,2015-04-04 13:00:00,2015-04
18351,2015,4,4,14,71.0,16.0,0.0,2.4,Wanshouxigong,2015-04-04 14:00:00,2015-04
18352,2015,4,4,15,67.0,16.0,0.0,2.0,Wanshouxigong,2015-04-04 15:00:00,2015-04
18353,2015,4,4,16,71.0,16.4,0.0,1.3,Wanshouxigong,2015-04-04 16:00:00,2015-04
18354,2015,4,4,17,73.0,16.7,0.0,1.5,Wanshouxigong,2015-04-04 17:00:00,2015-04
18355,2015,4,4,18,74.0,15.8,0.0,1.5,Wanshouxigong,2015-04-04 18:00:00,2015-04
18356,2015,4,4,19,78.0,15.1,0.0,2.0,Wanshouxigong,2015-04-04 19:00:00,2015-04
18357,2015,4,4,20,88.0,14.6,0.0,2.1,Wanshouxigong,2015-04-04 20:00:00,2015-04
18358,2015,4,4,21,100.0,14.4,0.0,3.7,Wanshouxigong,2015-04-04 21:00:00,2015-04
18359,2015,4,4,22,98.0,13.9,0.0,2.8,Wanshouxigong,2015-04-04 22:00:00,2015-04
18360,2015,4,4,23,106.0,13.3,0.0,2.3,Wanshouxigong,2015-04-04 23:00:00,2015-04
18361,2015,4,5,0,119.0,13.0,0.0,1.7,Wanshouxigong,2015-04-05 00:00:00,2015-04
18362,2015,4,5,1,126.0,12.7,0.0,1.7,Wanshouxigong,2015-04-05 01:00:00,2015-04
18363,2015,4,5,2,127.0,11.0,0.0,0.5,Wanshouxigong,2015-04-05 02:00:00,2015-04
18364,2015,4,5,3,135.0,10.6,0.0,0.3,Wanshouxigong,2015-04-05 03:00:00,2015-04
18365,2015,4,5,4,139.0,10.8,0.0,0.4,Wanshouxigong,2015-04-05 04:00:00,2015-04
18366,2015,4,5,5,142.0,10.7,0.0,0.7,Wanshouxigong,2015-04-05 05:00:00,2015-04
18367,2015,4,5,6,138.0,11.4,0.0,1.9,Wanshouxigong,2015-04-05 06:00:00,2015-04
18368,2015,4,5,7,87.0,12.2,0.0,1.3,Wanshouxigong,2015-04-05 07:00:00,2015-04
18369,2015,4,5,8,33.0,14.2,0.0,4.2,Wanshouxigong,2015-04-05 08:00:00,2015-04
18370,2015,4,5,9,17.0,14.3,0.0,4.4,Wanshouxigong,2015-04-05 09:00:00,2015-04
18371,2015,4,5,10,21.0,15.1,0.0,7.1,Wanshouxigong,2015-04-05 10:00:00,2015-04
18372,2015,4,5,11,28.0,15.3,0.0,7.6,Wanshouxigong,2015-04-05 11:00:00,2015-04
18373,2015,4,5,12,31.0,15.8,0.0,7.2,Wanshouxigong,2015-04-05 12:00:00,2015-04
18374,2015,4,5,13,23.0,15.9,0.0,6.7,Wanshouxigong,2015-04-05 13:00:00,2015-04
18375,2015,4,5,14,22.0,16.0,0.0,5.8,Wanshouxigong,2015-04-05 14:00:00,2015-04
18376,2015,4,5,15,18.0,15.9,0.0,6.1,Wanshouxigong,2015-04-05 15:00:00,2015-04
18377,2015,4,5,16,19.0,15.9,0.0,4.7,Wanshouxigong,2015-04-05 16:00:00,2015-04
18378,2015,4,5,17,21.0,14.5,0.0,6.6,Wanshouxigong,2015-04-05 17:00:00,2015-04
18379,2015,4,5,18,17.0,13.0,0.0,4.4,Wanshouxigong,2015-04-05 18:00:00,2015-04
18380,2015,4,5,19,19.0,11.3,0.0,3.8,Wanshouxigong,2015-04-05 19:00:00,2015-04
18381,2015,4,5,20,21.0,10.3,0.0,4.5,Wanshouxigong,2015-04-05 20:00:00,2015-04
18382,2015,4,5,21,22.0,9.3,0.0,3.8,Wanshouxigong,2015-04-05 21:00:00,2015-04
18383,2015,4,5,22,24.0,8.2,0.0,3.8,Wanshouxigong,2015-04-05 22:00:00,2015-04
18384,2015,4,5,23,21.0,7.6,0.0,2.9,Wanshouxigong,2015-04-05 23:00:00,2015-04
18385,2015,4,6,0,16.0,7.2,0.0,3.2,Wanshouxigong,2015-04-06 00:00:00,2015-04
18386,2015,4,6,1,17.0,6.4,0.0,2.1,Wanshouxigong,2015-04-06 01:00:00,2015-04
18387,2015,4,6,2,16.0,6.0,0.0,3.7,Wanshouxigong,2015-04-06 02:00:00,2015-04
18388,2015,4,6,3,16.0,5.1,0.0,1.9,Wanshouxigong,2015-04-06 03:00:00,2015-04
18389,2015,4,6,4,13.0,4.9,0.0,2.6,Wanshouxigong,2015-04-06 04:00:00,2015-04
18390,2015,4,6,5,14.0,4.7,0.0,2.9,Wanshouxigong,2015-04-06 05:00:00,2015-04
18391,2015,4,6,6,12.0,4.3,0.0,1.8,Wanshouxigong,2015-04-06 06:00:00,2015-04
18392,2015,4,6,7,14.0,4.2,0.0,3.0,Wanshouxigong,2015-04-06 07:00:00,2015-04
18393,2015,4,6,8,13.0,5.0,0.0,3.2,Wanshouxigong,2015-04-06 08:00:00,2015-04
18394,2015,4,6,9,14.0,5.1,0.0,3.9,Wanshouxigong,2015-04-06 09:00:00,2015-04
18395,2015,4,6,10,17.0,5.8,0.0,3.5,Wanshouxigong,2015-04-06 10:00:00,2015-04
18396,2015,4,6,11,18.0,7.3,0.0,2.4,Wanshouxigong,2015-04-06 11:00:00,2015-04
18397,2015,4,6,12,19.0,7.8,0.0,3.3,Wanshouxigong,2015-04-06 12:00:00,2015-04
18398,2015,4,6,13,12.0,8.9,0.0,2.2,Wanshouxigong,2015-04-06 13:00:00,2015-04
18399,2015,4,6,14,20.0,10.3,0.0,2.4,Wanshouxigong,2015-04-06 14:00:00,2015-04
18400,2015,4,6,15,21.0,11.2,0.0,2.1,Wanshouxigong,2015-04-06 15:00:00,2015-04
18401,2015,4,6,16,18.0,11.7,0.0,1.7,Wanshouxigong,2015-04-06 16:00:00,2015-04
18402,2015,4,6,17,21.0,11.3,0.0,2.6,Wanshouxigong,2015-04-06 17:00:00,2015-04
18403,2015,4,6,18,28.0,10.1,0.0,2.2,Wanshouxigong,2015-04-06 18:00:00,2015-04
18404,2015,4,6,19,28.0,9.3,0.0,2.6,Wanshouxigong,2015-04-06 19:00:00,2015-04
18405,2015,4,6,20,33.0,9.0,0.0,3.4,Wanshouxigong,2015-04-06 20:00:00,2015-04
18406,2015,4,6,21,34.0,8.5,0.0,3.3,Wanshouxigong,2015-04-06 21:00:00,2015-04
18407,2015,4,6,22,41.0,7.7,0.0,2.0,Wanshouxigong,2015-04-06 22:00:00,2015-04
18408,2015,4,6,23,44.0,7.5,0.0,2.5,Wanshouxigong,2015-04-06 23:00:00,2015-04
18409,2015,4,7,0,50.0,6.5,0.0,2.0,Wanshouxigong,2015-04-07 00:00:00,2015-04
18410,2015,4,7,1,50.0,5.0,0.0,1.7,Wanshouxigong,2015-04-07 01:00:00,2015-04
18411,2015,4,7,2,50.0,5.2,0.0,2.7,Wanshouxigong,2015-04-07 02:00:00,2015-04
18412,2015,4,7,3,21.0,4.8,0.0,2.3,Wanshouxigong,2015-04-07 03:00:00,2015-04
18413,2015,4,7,4,10.0,4.0,0.0,1.7,Wanshouxigong,2015-04-07 04:00:00,2015-04
18414,2015,4,7,5,8.0,3.1,0.0,1.5,Wanshouxigong,2015-04-07 05:00:00,2015-04
18415,2015,4,7,6,6.0,1.7,0.0,1.2,Wanshouxigong,2015-04-07 06:00:00,2015-04
18416,2015,4,7,7,10.0,4.3,0.0,1.0,Wanshouxigong,2015-04-07 07:00:00,2015-04
18417,2015,4,7,8,11.0,6.6,0.0,1.3,Wanshouxigong,2015-04-07 08:00:00,2015-04
18418,2015,4,7,9,13.0,7.7,0.0,1.4,Wanshouxigong,2015-04-07 09:00:00,2015-04
18419,2015,4,7,10,11.0,8.8,0.0,1.7,Wanshouxigong,2015-04-07 10:00:00,2015-04
18420,2015,4,7,11,15.0,9.7,0.0,3.3,Wanshouxigong,2015-04-07 11:00:00,2015-04
18421,2015,4,7,12,4.0,10.6,0.0,2.5,Wanshouxigong,2015-04-07 12:00:00,2015-04
18422,2015,4,7,13,14.0,11.5,0.0,1.8,Wanshouxigong,2015-04-07 13:00:00,2015-04
18423,2015,4,7,14,8.0,12.6,0.0,1.5,Wanshouxigong,2015-04-07 14:00:00,2015-04
18424,2015,4,7,15,20.0,12.6,0.0,3.0,Wanshouxigong,2015-04-07 15:00:00,2015-04
18425,2015,4,7,16,23.0,12.4,0.0,3.0,Wanshouxigong,2015-04-07 16:00:00,2015-04
18426,2015,4,7,17,22.0,12.3,0.0,4.1,Wanshouxigong,2015-04-07 17:00:00,2015-04
18427,2015,4,7,18,21.0,11.6,0.0,4.2,Wanshouxigong,2015-04-07 18:00:00,2015-04
18428,2015,4,7,19,25.0,10.9,0.0,4.4,Wanshouxigong,2015-04-07 19:00:00,2015-04
18429,2015,4,7,20,36.0,10.4,0.0,4.0,Wanshouxigong,2015-04-07 20:00:00,2015-04
18430,2015,4,7,21,56.0,9.9,0.0,3.4,Wanshouxigong,2015-04-07 21:00:00,2015-04
18431,2015,4,7,22,62.0,9.7,0.0,5.1,Wanshouxigong,2015-04-07 22:00:00,2015-04
18432,2015,4,7,23,64.0,9.0,0.0,3.9,Wanshouxigong,2015-04-07 23:00:00,2015-04
18433,2015,4,8,0,71.0,8.7,0.0,4.0,Wanshouxigong,2015-04-08 00:00:00,2015-04
18434,2015,4,8,1,74.0,8.4,0.0,3.8,Wanshouxigong,2015-04-08 01:00:00,2015-04
18435,2015,4,8,2,79.0,7.7,0.0,1.7,Wanshouxigong,2015-04-08 02:00:00,2015-04
18436,2015,4,8,3,88.0,7.5,0.0,2.9,Wanshouxigong,2015-04-08 03:00:00,2015-04
18437,2015,4,8,4,89.0,6.7,0.0,1.5,Wanshouxigong,2015-04-08 04:00:00,2015-04
18438,2015,4,8,5,93.0,4.5,0.0,1.1,Wanshouxigong,2015-04-08 05:00:00,2015-04
18439,2015,4,8,6,96.0,3.4,0.0,1.3,Wanshouxigong,2015-04-08 06:00:00,2015-04
18440,2015,4,8,7,97.0,4.2,0.0,0.8,Wanshouxigong,2015-04-08 07:00:00,2015-04
18441,2015,4,8,8,111.0,6.6,0.0,0.5,Wanshouxigong,2015-04-08 08:00:00,2015-04
18442,2015,4,8,9,118.0,8.6,0.0,1.1,Wanshouxigong,2015-04-08 09:00:00,2015-04
18443,2015,4,8,10,126.0,10.6,0.0,3.2,Wanshouxigong,2015-04-08 10:00:00,2015-04
18444,2015,4,8,11,93.0,10.9,0.0,3.9,Wanshouxigong,2015-04-08 11:00:00,2015-04
18445,2015,4,8,12,64.0,12.6,0.0,3.7,Wanshouxigong,2015-04-08 12:00:00,2015-04
18446,2015,4,8,13,76.0,14.0,0.0,3.6,Wanshouxigong,2015-04-08 13:00:00,2015-04
18447,2015,4,8,14,90.0,13.6,0.0,4.0,Wanshouxigong,2015-04-08 14:00:00,2015-04
18448,2015,4,8,15,93.0,12.9,0.0,3.7,Wanshouxigong,2015-04-08 15:00:00,2015-04
18449,2015,4,8,16,100.0,12.2,0.0,3.3,Wanshouxigong,2015-04-08 16:00:00,2015-04
18450,2015,4,8,17,112.0,11.6,0.0,3.0,Wanshouxigong,2015-04-08 17:00:00,2015-04
18451,2015,4,8,18,121.0,11.3,0.0,2.3,Wanshouxigong,2015-04-08 18:00:00,2015-04
18452,2015,4,8,19,124.0,10.8,0.0,2.7,Wanshouxigong,2015-04-08 19:00:00,2015-04
18453,2015,4,8,20,130.0,9.8,0.0,2.6,Wanshouxigong,2015-04-08 20:00:00,2015-04
18454,2015,4,8,21,137.0,9.3,0.0,1.6,Wanshouxigong,2015-04-08 21:00:00,2015-04
18455,2015,4,8,22,135.0,8.9,0.0,1.4,Wanshouxigong,2015-04-08 22:00:00,2015-04
18456,2015,4,8,23,148.0,8.3,0.0,1.0,Wanshouxigong,2015-04-08 23:00:00,2015-04
18457,2015,4,9,0,150.0,7.4,0.0,1.3,Wanshouxigong,2015-04-09 00:00:00,2015-04
18458,2015,4,9,1,132.0,6.6,0.0,1.3,Wanshouxigong,2015-04-09 01:00:00,2015-04
18459,2015,4,9,2,122.0,5.4,0.0,0.9,Wanshouxigong,2015-04-09 02:00:00,2015-04
18460,2015,4,9,3,122.0,4.7,0.0,0.8,Wanshouxigong,2015-04-09 03:00:00,2015-04
18461,2015,4,9,4,127.0,3.9,0.0,0.5,Wanshouxigong,2015-04-09 04:00:00,2015-04
18462,2015,4,9,5,126.0,3.2,0.0,0.9,Wanshouxigong,2015-04-09 05:00:00,2015-04
18463,2015,4,9,6,124.0,3.0,0.0,0.9,Wanshouxigong,2015-04-09 06:00:00,2015-04
18464,2015,4,9,7,152.0,4.3,0.0,0.8,Wanshouxigong,2015-04-09 07:00:00,2015-04
18465,2015,4,9,8,139.0,7.2,0.0,0.8,Wanshouxigong,2015-04-09 08:00:00,2015-04
18466,2015,4,9,9,138.0,9.4,0.0,1.0,Wanshouxigong,2015-04-09 09:00:00,2015-04
18467,2015,4,9,10,157.0,11.5,0.0,1.1,Wanshouxigong,2015-04-09 10:00:00,2015-04
18468,2015,4,9,11,167.0,12.5,0.0,1.6,Wanshouxigong,2015-04-09 11:00:00,2015-04
18469,2015,4,9,12,181.0,14.2,0.0,2.0,Wanshouxigong,2015-04-09 12:00:00,2015-04
18470,2015,4,9,13,195.0,15.7,0.0,2.6,Wanshouxigong,2015-04-09 13:00:00,2015-04
18471,2015,4,9,14,194.0,16.8,0.0,2.8,Wanshouxigong,2015-04-09 14:00:00,2015-04
18472,2015,4,9,15,191.0,17.3,0.0,4.7,Wanshouxigong,2015-04-09 15:00:00,2015-04
18473,2015,4,9,16,174.0,17.8,0.0,3.0,Wanshouxigong,2015-04-09 16:00:00,2015-04
18474,2015,4,9,17,133.0,17.7,0.0,3.9,Wanshouxigong,2015-04-09 17:00:00,2015-04
18475,2015,4,9,18,162.0,16.7,0.0,3.5,Wanshouxigong,2015-04-09 18:00:00,2015-04
18476,2015,4,9,19,208.0,15.8,0.0,3.5,Wanshouxigong,2015-04-09 19:00:00,2015-04
18477,2015,4,9,20,225.0,15.1,0.0,3.2,Wanshouxigong,2015-04-09 20:00:00,2015-04
18478,2015,4,9,21,236.0,14.8,0.0,3.9,Wanshouxigong,2015-04-09 21:00:00,2015-04
18479,2015,4,9,22,236.0,14.2,0.0,3.0,Wanshouxigong,2015-04-09 22:00:00,2015-04
18480,2015,4,9,23,245.0,13.6,0.0,2.1,Wanshouxigong,2015-04-09 23:00:00,2015-04
18481,2015,4,10,0,238.0,13.0,0.0,1.6,Wanshouxigong,2015-04-10 00:00:00,2015-04
18482,2015,4,10,1,236.0,10.1,0.0,0.6,Wanshouxigong,2015-04-10 01:00:00,2015-04
18483,2015,4,10,2,241.0,8.9,0.0,1.4,Wanshouxigong,2015-04-10 02:00:00,2015-04
18484,2015,4,10,3,224.0,7.7,0.0,0.6,Wanshouxigong,2015-04-10 03:00:00,2015-04
18485,2015,4,10,4,229.0,8.3,0.0,1.4,Wanshouxigong,2015-04-10 04:00:00,2015-04
18486,2015,4,10,5,226.0,6.6,0.0,1.0,Wanshouxigong,2015-04-10 05:00:00,2015-04
18487,2015,4,10,6,212.0,6.5,0.0,0.8,Wanshouxigong,2015-04-10 06:00:00,2015-04
18488,2015,4,10,7,207.0,7.1,0.0,0.9,Wanshouxigong,2015-04-10 07:00:00,2015-04
18489,2015,4,10,8,204.0,9.9,0.0,1.7,Wanshouxigong,2015-04-10 08:00:00,2015-04
18490,2015,4,10,9,207.0,11.5,0.0,1.2,Wanshouxigong,2015-04-10 09:00:00,2015-04
18491,2015,4,10,10,207.0,13.7,0.0,1.4,Wanshouxigong,2015-04-10 10:00:00,2015-04
18492,2015,4,10,11,218.0,15.7,0.0,2.1,Wanshouxigong,2015-04-10 11:00:00,2015-04
18493,2015,4,10,12,206.0,17.8,0.0,2.3,Wanshouxigong,2015-04-10 12:00:00,2015-04
18494,2015,4,10,13,160.0,19.0,0.0,2.3,Wanshouxigong,2015-04-10 13:00:00,2015-04
18495,2015,4,10,14,124.0,20.2,0.0,3.0,Wanshouxigong,2015-04-10 14:00:00,2015-04
18496,2015,4,10,15,121.0,20.5,0.0,3.0,Wanshouxigong,2015-04-10 15:00:00,2015-04
18497,2015,4,10,16,118.0,20.8,0.0,2.9,Wanshouxigong,2015-04-10 16:00:00,2015-04
18498,2015,4,10,17,108.0,20.2,0.0,3.0,Wanshouxigong,2015-04-10 17:00:00,2015-04
18499,2015,4,10,18,104.0,19.8,0.0,2.7,Wanshouxigong,2015-04-10 18:00:00,2015-04
18500,2015,4,10,19,60.0,17.8,0.0,0.9,Wanshouxigong,2015-04-10 19:00:00,2015-04
18501,2015,4,10,20,84.0,15.0,0.0,0.7,Wanshouxigong,2015-04-10 20:00:00,2015-04
18502,2015,4,10,21,119.0,15.2,0.0,1.8,Wanshouxigong,2015-04-10 21:00:00,2015-04
18503,2015,4,10,22,94.0,16.6,0.0,4.7,Wanshouxigong,2015-04-10 22:00:00,2015-04
18504,2015,4,10,23,53.0,15.9,0.0,1.7,Wanshouxigong,2015-04-10 23:00:00,2015-04
18505,2015,4,11,0,59.0,15.9,0.0,1.2,Wanshouxigong,2015-04-11 00:00:00,2015-04
18506,2015,4,11,1,97.0,14.2,0.0,2.5,Wanshouxigong,2015-04-11 01:00:00,2015-04
18507,2015,4,11,2,159.0,12.7,0.1,3.8,Wanshouxigong,2015-04-11 02:00:00,2015-04
18508,2015,4,11,3,227.0,12.2,0.1,3.4,Wanshouxigong,2015-04-11 03:00:00,2015-04
18509,2015,4,11,4,253.0,11.7,0.1,1.3,Wanshouxigong,2015-04-11 04:00:00,2015-04
18510,2015,4,11,5,239.0,11.0,0.0,1.5,Wanshouxigong,2015-04-11 05:00:00,2015-04
18511,2015,4,11,6,228.0,10.4,0.0,1.1,Wanshouxigong,2015-04-11 06:00:00,2015-04
18512,2015,4,11,7,228.0,10.7,0.0,3.4,Wanshouxigong,2015-04-11 07:00:00,2015-04
18513,2015,4,11,8,220.0,11.8,0.0,4.8,Wanshouxigong,2015-04-11 08:00:00,2015-04
18514,2015,4,11,9,199.0,13.4,0.0,4.0,Wanshouxigong,2015-04-11 09:00:00,2015-04
18515,2015,4,11,10,179.0,14.7,0.0,3.0,Wanshouxigong,2015-04-11 10:00:00,2015-04
18516,2015,4,11,11,153.0,16.1,0.0,3.4,Wanshouxigong,2015-04-11 11:00:00,2015-04
